Date,ETH Price (USD),Hashrate (GH/s),Blocks per day,,
10/11/2016,11.75,6937.1736,6050,,
10/12/2016,11.77,6700.3711,5910,,
10/13/2016,12.02,6965.8669,6114,,
10/14/2016,11.9,7226.2037,6079,,
10/15/2016,11.96,7301.6059,6027,,
10/16/2016,11.93,7491.1701,6055,,
10/17/2016,11.98,7121.9336,5959,,
10/18/2016,12.5,7396.8799,6119,,
10/19/2016,11.98,7431.3973,5774,,
10/20/2016,12.05,7670.915,6298,,
10/21/2016,12.07,7757.4499,6097,,
10/22/2016,12.06,7767.7022,6041,,
10/23/2016,11.95,7558.2757,5993,,
10/24/2016,11.93,7712.7627,6065,,
10/25/2016,11.38,7817.4541,6028,,
10/26/2016,11.5,7897.5795,6096,,
10/27/2016,11.43,7754.9282,6018,,
10/28/2016,11.08,7447.6341,5943,,
10/29/2016,10.39,5933.8419,5668,,
10/30/2016,11.22,5768.4023,6059,,
10/31/2016,10.91,6170.1936,6092,,
11/1/2016,10.75,5264.4502,5839,,
11/2/2016,10.82,4743.8178,5952,,
11/3/2016,10.86,4528.1677,5950,,
11/4/2016,11.13,4164.5726,5904,,
11/5/2016,11.11,3926.9146,5996,,
11/6/2016,10.97,3870.5255,6054,,
11/7/2016,10.9,4601.8022,6315,,
11/8/2016,10.86,5126.5784,6159,,
11/9/2016,10.64,5000.396,5924,,
11/10/2016,10.52,4596.517,5966,,
11/11/2016,10.29,4470.7243,5992,,
11/12/2016,9.96,4555.873,6086,,
11/13/2016,10.13,4937.128,6203,,
11/14/2016,10,5122.3997,6067,,
11/15/2016,10.22,5155.4629,6006,,
11/16/2016,10.01,5050.1138,6045,,
11/17/2016,9.95,4838.0854,5868,,
11/18/2016,9.53,5193.5489,6289,,
11/19/2016,9.7,5480.2832,6150,,
11/20/2016,9.57,5987.5706,6179,,
11/21/2016,9.56,6324.9229,6073,,
11/22/2016,9.84,5955.0846,5922,,
11/23/2016,9.78,5908.0341,5837,,
11/24/2016,9.22,5287.2911,5914,,
11/25/2016,9.39,5301.8374,6111,,
11/26/2016,9.34,5364.8074,5938,,
11/27/2016,8.91,5348.1061,5945,,
11/28/2016,8.67,5544.287,6042,,
11/29/2016,8.18,5456.127,5988,,
11/30/2016,8.59,5209.9548,6061,,
12/1/2016,8.44,5268.3704,6057,,
12/2/2016,7.65,5341.6121,6075,,
12/3/2016,7.9,5614.5189,6160,,
12/4/2016,7.54,5551.9253,5983,,
12/5/2016,6.69,5409.3217,6004,,
12/6/2016,7.61,5367.7479,6089,,
12/7/2016,8.35,5496.8057,6073,,
12/8/2016,8.3,5783.3873,6125,,
12/9/2016,8.52,5914.8346,6050,,
12/10/2016,8.09,6040.1544,6075,,
12/11/2016,8.2,6204.02,6098,,
12/12/2016,8.45,5975.0517,5999,,
12/13/2016,8.4,6168.728,6070,,
12/14/2016,8.23,6132.4685,6080,,
12/15/2016,7.76,6097.3583,6001,,
12/16/2016,7.85,6290.8766,6075,,
12/17/2016,7.66,6370.3847,6116,,
12/18/2016,7.89,6594.1816,6096,,
12/19/2016,7.61,6588.4056,6032,,
12/20/2016,7.59,6748.3212,6069,,
12/21/2016,7.87,6696.8063,6070,,
12/22/2016,7.64,6475.333,5956,,
12/23/2016,7.16,6022.6423,5954,,
12/24/2016,7.23,5671.6635,6006,,
12/25/2016,7.19,5939.9539,6127,,
12/26/2016,7.21,6147.6001,6066,,
12/27/2016,7.15,5943.6228,5998,,
12/28/2016,7.57,5906.9011,6056,,
12/29/2016,8.21,5885.5378,6082,,
12/30/2016,8.16,5892.7281,6063,,
12/31/2016,8.05,5957.5536,5993,,
1/1/2017,8.14,5962.5576,6111,,
1/2/2017,8.34,5979.936,6058,,
1/3/2017,9.6,5984.9265,6035,,
1/4/2017,10.88,6603.4409,6141,,
1/5/2017,10.2,6748.8433,6091,,
1/6/2017,10.07,6783.5835,6009,,
1/7/2017,9.79,7025.7055,6108,,
1/8/2017,10.27,7052.8143,6074,,
1/9/2017,10.2,7281.103,6082,,
1/10/2017,10.55,7283.0151,6030,,
1/11/2017,9.83,7356.4905,6047,,
1/12/2017,9.81,7432.253,6056,,
1/13/2017,9.78,7568.8324,6106,,
1/14/2017,9.78,7587.9426,6067,,
1/15/2017,9.88,7741.9086,6085,,
1/16/2017,9.59,7735.3142,6052,,
1/17/2017,10.14,7657.6882,6002,,
1/18/2017,10.19,7592.5237,6065,,
1/19/2017,10.43,8114.4421,6158,,
1/20/2017,10.6,7838.6452,5963,,
1/21/2017,10.91,8044.0736,6046,,
1/22/2017,10.71,8083.9775,6065,,
1/23/2017,10.78,8232.8818,6048,,
1/24/2017,10.51,8124.3364,6037,,
1/25/2017,10.51,8145.8979,6010,,
1/26/2017,10.65,8367.5758,6081,,
1/27/2017,10.51,8244.2883,5985,,
1/28/2017,10.54,8279.3794,6063,,
1/29/2017,10.47,8111.2062,5960,,
1/30/2017,10.62,8348.0885,6094,,
1/31/2017,10.71,8339.12,6018,,
2/1/2017,10.71,8226.0029,6009,,
2/2/2017,10.78,8407.2648,6047,,
2/3/2017,10.95,8271.9789,5990,,
2/4/2017,11.32,8427.7058,6078,,
2/5/2017,11.22,8773.2937,6077,,
2/6/2017,11.32,8877.6557,6050,,
2/7/2017,11.45,8865.7805,5998,,
2/8/2017,11.39,8981.8497,6067,,
2/9/2017,10.94,8947.4759,6029,,
2/10/2017,11.34,9217.8017,6040,,
2/11/2017,11.43,9275.2906,6038,,
2/12/2017,11.42,9392.2664,6059,,
2/13/2017,11.39,9522.8756,6070,,
2/14/2017,13,9629.3742,6023,,
2/15/2017,12.97,9674.344,6089,,
2/16/2017,12.95,9633.6869,6052,,
2/17/2017,12.72,9813.818,6012,,
2/18/2017,12.83,9910.4307,5999,,
2/19/2017,12.82,10076.9868,6019,,
2/20/2017,12.52,10118.1204,6015,,
2/21/2017,12.77,10342.9777,6052,,
2/22/2017,12.69,10225.688,5968,,
2/23/2017,13.13,10249.8892,6019,,
2/24/2017,13.11,10300.807,6011,,
2/25/2017,13.57,10613.2667,6039,,
2/26/2017,14.59,11038.1733,6089,,
2/27/2017,15.55,11078.6475,5988,,
2/28/2017,16.07,11579.116,6107,,
3/1/2017,17.55,11193.1403,5958,,
3/2/2017,19.08,11369.6535,6061,,
3/3/2017,19.48,11791.9899,6006,,
3/4/2017,18.61,11641.3951,5985,,
3/5/2017,19.22,12169.6377,6073,,
3/6/2017,19.75,12202.0077,5977,,
3/7/2017,18.91,12126.1529,5978,,
3/8/2017,16.54,12566.0974,6016,,
3/9/2017,17.71,12593.1903,5928,,
3/10/2017,19.13,12622.6645,5953,,
3/11/2017,21.45,12870.7578,6002,,
3/12/2017,23.31,12911.1921,5919,,
3/13/2017,28.45,13434.1504,6040,,
3/14/2017,28.58,13255.2329,5961,,
3/15/2017,35.18,13628.7396,5986,,
3/16/2017,45.51,13794.9629,5990,,
3/17/2017,44.48,14518.7852,6046,,
3/18/2017,34,14696.5419,5991,,
3/19/2017,43.12,13915.1809,5950,,
3/20/2017,42.51,14863.3155,6066,,
3/21/2017,42.67,14561.0448,5957,,
3/22/2017,41.65,14914.7357,6008,,
3/23/2017,43.2,15425.4361,5914,,
3/24/2017,53.19,15334.1063,5913,,
3/25/2017,50.62,15439.4585,5962,,
3/26/2017,50.63,16219.4936,5981,,
3/27/2017,49.06,16894.3097,5951,,
3/28/2017,50.25,16458.957,5900,,
3/29/2017,53.07,17141.823,5988,,
3/30/2017,51.91,17183.9723,5910,,
3/31/2017,49.91,17643.5302,5971,,
4/1/2017,50.6,17342.0731,5926,,
4/2/2017,48.55,17320.8014,5846,,
4/3/2017,44.13,16564.8723,5979,,
4/4/2017,44.43,17593.0096,5932,,
4/5/2017,44.9,18094.6996,5986,,
4/6/2017,43.23,17967.3505,5880,,
4/7/2017,42.31,18253.0325,5946,,
4/8/2017,44.37,18340.2159,5936,,
4/9/2017,43.72,18009.4232,5797,,
4/10/2017,43.74,18072.1973,5758,,
4/11/2017,43.74,18671.3934,5849,,
4/12/2017,46.38,18555.8787,5779,,
4/13/2017,49.97,18205.074,5798,,
4/14/2017,47.32,19833.812,5908,,
4/15/2017,48.89,19260.1407,5721,,
4/16/2017,48.22,19591.7831,5820,,
4/17/2017,47.94,19889.9768,5861,,
4/18/2017,49.88,20302.3049,5861,,
4/19/2017,47.88,20078.8856,5718,,
4/20/2017,49.36,20288.8866,5859,,
4/21/2017,48.27,20805.2888,5878,,
4/22/2017,48.41,20900.958,5792,,
4/23/2017,48.75,21389.0055,5864,,
4/24/2017,49.94,20664.8066,5721,,
4/25/2017,50.09,21582.4498,5897,,
4/26/2017,53.28,21292.624,5637,,
4/27/2017,63.14,21617.4059,5642,,
4/28/2017,72.42,22951.0371,5697,,
4/29/2017,69.83,23467.3816,5626,,
4/30/2017,79.83,22938.2706,5648,,
5/1/2017,77.53,23205.2792,5624,,
5/2/2017,77.25,23246.7388,5619,,
5/3/2017,80.37,23614.2464,5649,,
5/4/2017,94.55,23265.2011,5649,,
5/5/2017,90.79,24468.9937,5675,,
5/6/2017,94.82,24415.8585,5678,,
5/7/2017,90.46,24862.0244,5718,,
5/8/2017,88.39,24481.3196,5640,,
5/9/2017,86.27,25606.8006,5672,,
5/10/2017,87.83,25352.2733,5648,,
5/11/2017,88.2,25792.7606,5702,,
5/12/2017,85.15,26696.7857,5688,,
5/13/2017,87.96,26056.3076,5591,,
5/14/2017,88.72,26882.1696,5402,,
5/15/2017,90.32,27814.0407,5401,,
5/16/2017,87.8,28230.111,5457,,
5/17/2017,86.98,26762.9284,5325,,
5/18/2017,95.88,27740.2141,5462,,
5/19/2017,124.38,28816.636,5424,,
5/20/2017,123.06,29609.4667,5489,,
5/21/2017,148,30501.1451,5437,,
5/22/2017,160.39,31382.7051,5468,,
5/23/2017,169.5,30236.4543,5419,,
5/24/2017,193.03,30975.705,5427,,
5/25/2017,177.33,31139.2104,5465,,
5/26/2017,162.83,31197.0515,5492,,
5/27/2017,156.63,32153.7231,5439,,
5/28/2017,172.86,31940.9693,5453,,
5/29/2017,194.17,34015.7294,5579,,
5/30/2017,228.58,36263.7391,5581,,
5/31/2017,228.64,35309.9381,5412,,
6/1/2017,220.7,37244.2449,5276,,
6/2/2017,222.04,36298.9273,5087,,
6/3/2017,224.3,37390.2818,5206,,
6/4/2017,244.96,38378.7011,5160,,
6/5/2017,247.75,39283.0384,5249,,
6/6/2017,264.26,39838.9042,5208,,
